starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 31 15:41:59 2023	1704033719	0	10013	10013	10003
Sun Dec 31 15:38:28 2023	1704033508	0	10013	10014	10003
Sun Dec 31 15:41:29 2023	1704033689	0	10014	10014	10003
Sun Dec 31 15:36:38 2023	1704033398	0	10014	10014	10004
Sun Dec 31 15:40:09 2023	1704033609	0	10014	10014	10004
Sun Dec 31 15:40:19 2023	1704033619	0	10014	10014	10004
Sun Dec 31 15:36:48 2023	1704033408	0	10014	10014	10004
Sun Dec 31 15:41:39 2023	1704033699	0	10014	10014	10004
Sun Dec 31 15:37:48 2023	1704033468	0	10014	10014	10004
Sun Dec 31 15:39:19 2023	1704033559	0	10015	10015	10004
Sun Dec 31 15:39:19 2023	1704033559	0	10014	10015	10004
Sun Dec 31 15:46:20 2023	1704033980	0	10015	10015	10003
Sun Dec 31 15:42:49 2023	1704033769	0	10015	10015	10005
Sun Dec 31 15:37:18 2023	1704033438	0	10015	10015	10004
Sun Dec 31 15:40:19 2023	1704033619	0	10015	10016	10005
Sun Dec 31 15:45:50 2023	1704033950	0	10016	10016	10004
Sun Dec 31 15:36:58 2023	1704033418	0	10016	10016	10004
Sun Dec 31 15:37:08 2023	1704033428	0	10016	10016	10006
Sun Dec 31 15:37:08 2023	1704033428	0	10016	10016	10006
Sun Dec 31 15:46:20 2023	1704033980	0	10016	10016	10005
Sun Dec 31 15:45:29 2023	1704033929	0	10016	10016	10005
Sun Dec 31 15:38:28 2023	1704033508	0	10017	10017	10006
Sun Dec 31 15:41:09 2023	1704033669	0	10017	10017	10006
Sun Dec 31 15:51:30 2023	1704034290	0	10017	10017	10006
Sun Dec 31 15:48:40 2023	1704034120	0	10017	10017	10007
Sun Dec 31 15:37:58 2023	1704033478	0	10017	10017	10006
Sun Dec 31 15:38:49 2023	1704033529	0	10017	10017	10006
Sun Dec 31 15:40:39 2023	1704033639	0	10018	10018	10005
Sun Dec 31 15:40:09 2023	1704033609	0	10018	10018	10007
Sun Dec 31 15:47:40 2023	1704034060	0	10018	10018	10005
Sun Dec 31 15:38:59 2023	1704033539	0	10018	10018	10003
Sun Dec 31 15:36:58 2023	1704033418	0	10018	10018	10007
Sun Dec 31 15:38:49 2023	1704033529	0	10018	10018	10008
Sun Dec 31 15:46:10 2023	1704033970	0	10018	10018	10007
