starttime	ttime	endtime
1704062319.4108305	9.989738464355469e-05	1704062319.4109304
1704062319.4109468	5.936622619628906e-05	1704062319.4110062
1704062319.4110103	4.100799560546875e-05	1704062319.4110513
1704062319.4110537	4.029273986816406e-05	1704062319.411094
1704062319.4110959	5.340576171875e-05	1704062319.4111493
1704062319.4111526	5.245208740234375e-05	1704062319.411205
1704062319.411208	4.76837158203125e-05	1704062319.4112556
1704062319.4112575	4.2438507080078125e-05	1704062319.4113
1704062319.4113016	4.3392181396484375e-05	1704062319.411345
1704062319.4113476	4.553794860839844e-05	1704062319.4113932
1704062319.4113958	4.291534423828125e-05	1704062319.4114387
1704062319.411441	5.6743621826171875e-05	1704062319.4114978
1704062319.4115005	5.030632019042969e-05	1704062319.4115508
1704062319.411556	5.412101745605469e-05	1704062319.4116101
1704062319.4116123	5.078315734863281e-05	1704062319.411663
1704062319.4116657	6.532669067382812e-05	1704062319.411731
1704062319.4117346	6.818771362304688e-05	1704062319.4118028
1704062319.411806	6.532669067382812e-05	1704062319.4118714
1704062319.411875	7.677078247070312e-05	1704062319.4119518
1704062319.411956	6.842613220214844e-05	1704062319.4120245
1704062319.4120274	6.628036499023438e-05	1704062319.4120936
1704062319.412097	6.628036499023438e-05	1704062319.4121633
1704062319.412168	7.557868957519531e-05	1704062319.4122436
1704062319.4122481	7.486343383789062e-05	1704062319.412323
1704062319.4123275	7.033348083496094e-05	1704062319.4123979
1704062319.4124022	6.175041198730469e-05	1704062319.412464
1704062319.412468	6.556510925292969e-05	1704062319.4125335
1704062319.4125376	6.937980651855469e-05	1704062319.412607
1704062319.412611	7.462501525878906e-05	1704062319.4126856
1704062319.41269	5.9604644775390625e-05	1704062319.4127495
1704062319.4127526	6.103515625e-05	1704062319.4128137
1704062319.4128165	6.29425048828125e-05	1704062319.4128795
1704062319.4128838	6.961822509765625e-05	1704062319.4129534
1704062319.4129581	6.818771362304688e-05	1704062319.4130263
1704062319.4130304	7.534027099609375e-05	1704062319.4131057
1704062319.41311	6.818771362304688e-05	1704062319.4131782
1704062319.4131823	6.103515625e-05	1704062319.4132433
1704062319.4132462	6.842613220214844e-05	1704062319.4133146
1704062319.4133186	7.486343383789062e-05	1704062319.4133935
1704062319.4133961	6.723403930664062e-05	1704062319.4134634
1704062319.4134688	7.200241088867188e-05	1704062319.4135408
1704062319.4135447	7.104873657226562e-05	1704062319.4136157
1704062319.4136188	6.67572021484375e-05	1704062319.4136856
1704062319.4136896	6.914138793945312e-05	1704062319.4137588
1704062319.4137619	7.43865966796875e-05	1704062319.4138362
1704062319.41384	6.961822509765625e-05	1704062319.4139097
1704062319.4139128	6.961822509765625e-05	1704062319.4139824
1704062319.413987	7.224082946777344e-05	1704062319.4140592
1704062319.4140627	6.794929504394531e-05	1704062319.4141307
1704062319.414134	6.556510925292969e-05	1704062319.4141996
1704062319.4142032	6.29425048828125e-05	1704062319.414266
1704062319.4142697	6.222724914550781e-05	1704062319.414332
1704062319.4143355	6.866455078125e-05	1704062319.4144042
1704062319.4144077	6.103515625e-05	1704062319.4144688
1704062319.414472	6.532669067382812e-05	1704062319.4145374
1704062319.4145408	6.127357482910156e-05	1704062319.414602
1704062319.4146059	6.866455078125e-05	1704062319.4146745
1704062319.4146786	7.033348083496094e-05	1704062319.414749
1704062319.4147527	7.081031799316406e-05	1704062319.4148235
1704062319.41483	6.818771362304688e-05	1704062319.4148982
1704062319.4149022	6.461143493652344e-05	1704062319.4149668
1704062319.4149704	6.318092346191406e-05	1704062319.4150336
1704062319.4150388	6.103515625e-05	1704062319.4150999
1704062319.4151032	5.841255187988281e-05	1704062319.4151616
1704062319.415165	5.817413330078125e-05	1704062319.4152231
1704062319.4152265	5.6743621826171875e-05	1704062319.4152832
1704062319.4152865	5.269050598144531e-05	1704062319.4153392
1704062319.415342	5.435943603515625e-05	1704062319.4153965
1704062319.4153993	5.53131103515625e-05	1704062319.4154546
1704062319.4154575	5.602836608886719e-05	1704062319.4155135
1704062319.4155166	5.364418029785156e-05	1704062319.4155703
1704062319.4155734	5.3882598876953125e-05	1704062319.4156272
1704062319.4156327	5.817413330078125e-05	1704062319.415691
1704062319.4156942	5.9604644775390625e-05	1704062319.4157538
1704062319.4157574	6.031990051269531e-05	1704062319.4158177
1704062319.415821	5.8650970458984375e-05	1704062319.4158797
1704062319.415883	5.8650970458984375e-05	1704062319.4159417
1704062319.4159453	6.0558319091796875e-05	1704062319.4160058
1704062319.416009	5.793571472167969e-05	1704062319.416067
1704062319.41607	5.745887756347656e-05	1704062319.4161274
1704062319.4161305	5.7697296142578125e-05	1704062319.4161882
1704062319.4161916	5.745887756347656e-05	1704062319.416249
1704062319.4162524	6.246566772460938e-05	1704062319.4163148
1704062319.4163184	6.341934204101562e-05	1704062319.4163818
1704062319.4163857	6.270408630371094e-05	1704062319.4164484
1704062319.416452	6.246566772460938e-05	1704062319.4165144
1704062319.4165182	6.270408630371094e-05	1704062319.416581
1704062319.4165845	6.29425048828125e-05	1704062319.4166474
1704062319.4166508	6.270408630371094e-05	1704062319.4167135
1704062319.4167168	6.580352783203125e-05	1704062319.4167826
1704062319.4167862	6.651878356933594e-05	1704062319.4168527
1704062319.4168565	6.747245788574219e-05	1704062319.416924
1704062319.4169283	7.081031799316406e-05	1704062319.416999
1704062319.4170039	6.508827209472656e-05	1704062319.417069
1704062319.417073	6.413459777832031e-05	1704062319.4171371
1704062319.4171412	7.104873657226562e-05	1704062319.4172122
1704062319.4172163	7.033348083496094e-05	1704062319.4172866
1704062319.4172904	6.67572021484375e-05	1704062319.4173572
1704062319.4173622	7.772445678710938e-05	1704062319.41744
1704062319.4174445	6.794929504394531e-05	1704062319.4175124
1704062319.4175165	7.390975952148438e-05	1704062319.4175904
1704062319.4175944	6.628036499023438e-05	1704062319.4176607
1704062319.4176648	7.653236389160156e-05	1704062319.4177413
1704062319.417747	9.274482727050781e-05	1704062319.4178398
1704062319.4178452	9.179115295410156e-05	1704062319.417937
1704062319.4179423	8.20159912109375e-05	1704062319.4180243
1704062319.4180295	8.940696716308594e-05	1704062319.418119
1704062319.4181252	9.846687316894531e-05	1704062319.4182236
1704062319.4182293	9.846687316894531e-05	1704062319.4183278
1704062319.4183345	9.775161743164062e-05	1704062319.4184322
1704062319.4184384	0.00010752677917480469	1704062319.418546
1704062319.418552	0.000102996826171875	1704062319.418655
1704062319.4186614	0.0001010894775390625	1704062319.4187624
1704062319.4187684	9.417533874511719e-05	1704062319.4188626
1704062319.4188693	9.632110595703125e-05	1704062319.4189656
1704062319.4189703	8.606910705566406e-05	1704062319.4190564
1704062319.4190612	8.20159912109375e-05	1704062319.4191432
1704062319.419148	8.392333984375e-05	1704062319.419232
1704062319.4192371	8.630752563476562e-05	1704062319.4193234
1704062319.4193282	8.535385131835938e-05	1704062319.4194136
1704062319.4194183	8.225440979003906e-05	1704062319.4195006
1704062319.419505	7.081031799316406e-05	1704062319.4195757
1704062319.419579	6.103515625e-05	1704062319.41964
1704062319.419644	6.461143493652344e-05	1704062319.4197087
1704062319.4197128	6.246566772460938e-05	1704062319.4197752
1704062319.4197793	6.890296936035156e-05	1704062319.4198482
1704062319.4198518	6.198883056640625e-05	1704062319.4199138
1704062319.4199176	6.29425048828125e-05	1704062319.4199805
1704062319.4199839	6.079673767089844e-05	1704062319.4200447
1704062319.420053	6.0558319091796875e-05	1704062319.4201136
1704062319.420117	5.888938903808594e-05	1704062319.4201758
1704062319.4201791	5.793571472167969e-05	1704062319.420237
1704062319.4202402	5.817413330078125e-05	1704062319.4202983
1704062319.4203012	5.888938903808594e-05	1704062319.42036
1704062319.420363	5.745887756347656e-05	1704062319.4204204
1704062319.4204237	5.626678466796875e-05	1704062319.42048
1704062319.4204834	5.4836273193359375e-05	1704062319.4205382
1704062319.4205408	5.626678466796875e-05	1704062319.420597
1704062319.4206004	5.602836608886719e-05	1704062319.4206564
